Type,Cycle,Title,Student 1,Student 2,Student 3,Supervisor 1,Supervisor 2,Supervisor 3,Publication year,Continent,Country,Region,Département,City,Neighbourhood,Landmark,Geographic coordinates,Reference code,ArchiRès link
PFE (France),Master,Transition 1.0: récit d'une ville productive et coopérative,Elsa Moreau,Simon Le Lay,,Emilie Gascon,Ingrid Taillandier,,2025,Europe,France,Centre-Val de Loire,Eure-et-Loir,Dreux,,,"48.74538818610734, 1.362638892344954",E_PFE_03/2025/3556,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/580140/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Bocage et bâti, mitoyennetés en mutation",Tanguy Boisson,,,Paola Scaramuzza,,,2025,Europe,France,Pays de la Loire,Vendée,Chantonnay,,,"46.70665886426707, -1.0294655026160913",E_PFE_03/2025/3584,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594150/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Réhabiliter durablement, le rail comme outil de réversibilité",Annabelle Doumenjou,,,Matthias Armengaud,,,2025,Europe,France,Nouvelle-Aquitaine,Pyrénées-Atlantiques,Nay,,,"43.17657515437649, -0.2623384170590637",E_PFE_03/2025/3533,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/577657/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Vers un nouvel archipel des possibles: les friches ardennaises entre régénération et résilience territoriale,Corto Le Provost,,,Susanne Stacher,,,2025,Europe,France,Grand Est,Ardennes,Deville,,,"49.879906614782676, 4.705614145248929",E_PFE_03/2025/3575,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/584199/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Marseille, cohabiter avec l'infrastructure",Paul Brument,,,Gaëtan Brunet,,,2025,Europe,France,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,,,"43.29593928060475, 5.373691538311485",E_PFE_03/2025/3560,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/581236/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Ces bourgs, mon bourg",Mathieu Marot,Louis Massie,Clarisse Mathonnat,Jérémie Dalin,Stéphane Berthier,,2025,Europe,France,Nouvelle-Aquitaine,Haute-Vienne,Magnac-Laval,,,"46.214469792914684, 1.1661614141663206",E_PFE_03/2025/3609,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595272/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Graufthal, Au fil de l'eau, Entre les rochers",Jacques Bloquere,,,Paola Scaramuzza,,,2025,Europe,France,Grand Est,Bas-Rhin,Graufthal,,Massif des Vosges,"48.819855982409734, 7.280516081425146",E_PFE_03/2025/3625,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595894/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Passage technique : Guide des arpenteurs,Duncan Redmond,,,Fabien Duchene,,,2025,Europe,France,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Briançon,,Briançonnais,"44.94799075369036, 5.234021338261578",E_PFE_03/2025/3612,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594717/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Les nymphes et un coin du monde,Laura Mysengsay,,,Guillaume Ramillien,,,2025,Europe,France,Île-de-France,Paris,Paris,Quartier des Olympiades,,"48.824730183150734, 2.365054371404512",E_PFE_03/2025/3580,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/584315/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"RBX 2035/Ethnopolis : Un double récit pour la réhabilitation de l'ex-usine Lemaire Dillies, dans le quartier central Anseele Motte-Bossut à Roubaix (Nord)",Joe Nassar,,,Martial Marquet,Eliza Culea-Hong,,2025,Europe,France,Hauts-de-France,Nord,Roubaix,,,"50.68337222928733, 3.195923399057051",E_PFE_03/2025/3538,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/578266/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Architecture métissée pour habiter le climat de demain,Hammun Bahadury,Fanny Poullard,,Reza Azard,Michela De Giacometti,,2025,Europe,France,Occitanie,Gard,Gallargues-le-Montueux,,,"43.721513192503224, 4.173341257237034",E_PFE_03/2025/3573,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/584133/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Construire l'experimentation, un laboratoire mobile d'architecture",Arthus Mangaud,,,Klaas de Rycke,,,2025,Europe,France,Île-de-France,Yvelines,Rambouillet,,,"48.68028551216234, 1.8130540332549552",E_PFE_03/2025/3593,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595043/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Reconstruire l'invisible: une sous-station électrique comme refuge pour les femmes sans-abris,Maeva Iorio,Léa Calus,,Guillaume Ramillien,,,2025,Europe,France,Île-de-France,Paris,Paris,,,"48.8728603459358, 2.334611718307057",E_PFE_03/2025/3557,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/597926/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,22 v'la les eaux,Romain Delaunay,,,Emilie Gascon,Ingrid Taillandier,,2025,Europe,France,Bretagne,Ille-et-Vilaine,Saint-Malo,,,"48.65335846409817, -2.0123118491196066",E_PFE_03/2025/3606,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594443/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Penser la ville, panser le lien: investir la friche hospitalière au service de l'insertion",Lamiss Stitou,Eugénie Tracanelli,,Djamel Klouche,Anthony Jammes,,2025,Europe,France,Île-de-France,Paris,Paris,18e arrondissement,Hôpital Bichat,"48.8994249371671, 2.332514402548799",E_PFE_03/2025/3603,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594144/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"DALL-ÏTE-La ville sous la ville : Le quartier de la Défense, un patrimoine vertical",Tristan Giraud,,,Fabien Duchene,,,2025,Europe,France,Île-de-France,Hauts-de-Seine,Puteaux,La Défense,La Grande Arche,"48.89123505645646, 2.237204036571013",E_PFE_03/2025/3611,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594715/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,"Du souvenir estival au montage d'une cohabitation rurale dans le Luberon, réhabilitation des anciennes colonies de vacances de la commune de Marseille à Buoux",Edgar Mouret,,,Paola Scaramuzza,,,2025,Europe,France,Provence-Alpes-Côte d'Azur,Vaucluse,Buoux,,Massif du Luberon,"43.83166198192985, 5.3792259273242555",E_PFE_03/2025/3608,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/594753/id_int_bib/1/id_site/20/record_type/1
PFE (France),Master,Réhabilitation de la piscine de Luminy: une calanque urbaine dans un quartier en pleine nature,Julien Puchois,,,Emilie Gascon,Ingrid Taillandier,,2025,Europe,France,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,Quartier Luminy,,"43.23763307751101, 5.4282205927872",E_PFE_03/2025/3621,https://www.archires.archi.fr/recherche/viewnotice/id_sigb/595031/id_int_bib/1/id_site/20/record_type/1
