Type,Cycle,Title,Supervisor 1,Supervisor 2,Supervisor 3,Start date,End date,Duration (months),Continent,Country 1,Country 2,Country 3,Country 4,Region,City 1,City 2,City 3,City 4,Landmark,Institution,Institution (full name),Contact person,Reference code,ArchiRès link
P45,Master,Atacama : architecture at the edge of physics,Nicolas Dorval-Bory,Emilio Marín,Matthieu Molet,2022-03-01,2022-07-01,4,Amérique du Sud,Chili,,,,Atacama,,,,,,PUC Chile,Pontificia Universidad Católica de Chile,Emilio Marín,,
P45,Master,Atacama : architecture at the edge of physics,Nicolas Dorval-Bory,Emilio Marín,,2019-03-01,2019-07-01,4,Amérique du Sud,Chili,,,,Atacama,,,,,,PUC Chile,Pontificia Universidad Católica de Chile,Emilio Marín,,
P45,Master,,,,,2014-01-01,2021-01-01,84,Europe,Roumanie,,,,,,,,,,UAUIM,Ion Mincu University of Architecture and Urban Planning,A. Ferraru,,
P45,Master,,Raphaëlle Hondelatte,,,2012-09-28,2015-09-12,36,,,,,,,,,,,,Académie des Beaux-Arts,,,,
P46,Master,,S. Delhay,,,2015-12-04,2018-12-03,36,,,,,,,,,,,,Académie des Beaux-Arts,,,,
P45,Master,,,,,,,,Europe,Pays-Bas,,,,,,,,,,Academie van Bouwkunst,Academie van Bouwkunst Amsterdam (Amsterdam University of the Arts),,,
P45,Master,,Ido Avissar,,,2018-01-01,2021-04-18,39,Amérique du Nord,États-Unis,,,,Illinois,,,,,,IIT,Illinois Institute of Technology - College of Architecture,,,
P45,Master,,E. Guenoun,Jeremy Lecomte,,2017-01-01,2020-01-01,36,Amérique du Nord,États-Unis,,,,Texas,,,,,,GDH-UH,Gerald D. Hines College of Architecture and Design - University of Houston,,,
P45,Master,,Cédric Libert,Pierre Antoine,,2015-06-15,2018-08-01,38,Amérique du Sud,Brésil,,,,,,,,,,PUC-Rio,Pontifícia Universidade Católica do Rio de Janeiro,,,
P45,Master,,Cédric Libert,Pierre Antoine,,2013-03-28,2018-03-27,60,Amérique du Sud,Brésil,,,,,,,,,,FAU-UFRJ,Faculdade de Arquitetura e Urbanismo - Universidade Federal do Rio de Janeiro,,,
P45,Master,,Susanne Stacher,,,,,,Asie,Thaïlande,,,,,,,,,,Chulalongkorn,Chulalongkorn University,,,
P45,Master,,David Leclerc,Stéphane Berthier,,,,,Asie,Japon,,,,,,,,,,UTokyo,The University of Tokyo,,,
P45,Master,,Luc Vilan,,,2016-01-01,2018-01-01,24,Asie,Palestine,,,,,,,,,,An-Najah,An-Najah National University,,,
